Date,Open,High,Low,Close,Adj Close,Volume
2004-02-01,580.760010,597.080017,564.030029,585.559998,585.559998,27985600000
2004-03-01,585.559998,603.159973,556.130005,590.309998,590.309998,33597900000
2004-04-01,590.309998,606.419983,558.570007,559.799988,559.799988,31611900000
2004-05-01,559.799988,575.359985,530.679993,568.280029,568.280029,29326400000
2004-06-01,568.280029,591.530029,557.659973,591.520020,591.520020,27529500000
2004-07-01,591.520020,591.520020,531.419983,551.289978,551.289978,29285600000
2004-08-01,551.289978,551.929993,515.900024,547.929993,547.929993,26586800000
2004-09-01,547.929993,577.150024,547.700012,572.940002,572.940002,26829870000
2004-10-01,572.940002,592.659973,562.830017,583.789978,583.789978,31511000000
2004-11-01,583.789978,635.979980,581.109985,633.770020,633.770020,30460280000
2004-12-01,633.770020,656.109985,621.760010,651.570007,651.570007,31102700000
2005-01-01,651.570007,654.270020,604.169983,624.020020,624.020020,31498000000
2005-02-01,624.020020,640.590027,616.909973,634.059998,634.059998,29297410000
2005-03-01,634.059998,647.640015,603.750000,615.070007,615.070007,39014150000
2005-04-01,615.070007,620.900024,570.030029,579.380005,579.380005,43424270000
2005-05-01,579.380005,619.390015,578.140015,616.710022,616.710022,39321990000
2005-06-01,616.710022,648.190002,616.700012,639.659973,639.659973,40334040000
2005-07-01,639.659973,684.809998,638.929993,679.750000,679.750000,37464670000
2005-08-01,679.750000,688.510010,645.380005,666.510010,666.510010,42030090000
2005-09-01,666.510010,682.489990,644.739990,667.799988,667.799988,44777510000
2005-10-01,667.799988,674.169983,614.760010,646.609985,646.609985,49793790000
2005-11-01,646.609985,686.219971,640.179993,677.289978,677.289978,45102870000
2005-12-01,677.289978,693.630005,669.039978,673.219971,673.219971,41756130000
2006-01-01,673.219971,736.250000,666.580017,733.200012,733.200012,49211650000
2006-02-01,733.200012,742.770020,708.119995,730.640015,730.640015,42859940000
2006-03-01,730.640015,767.159973,713.619995,765.140015,765.140015,50905040000
2006-04-01,765.239990,778.570007,740.239990,764.539978,764.539978,43308430000
2006-05-01,764.539978,784.619995,696.059998,721.010010,721.010010,54312830000
2006-06-01,721.010010,742.260010,669.880005,724.669983,724.669983,54873260000
2006-07-01,724.650024,730.799988,668.580017,700.559998,700.559998,46348220000
2006-08-01,700.559998,725.039978,674.750000,720.530029,720.530029,50485620000
2006-09-01,720.520020,738.159973,700.440002,725.590027,725.590027,49001440000
2006-10-01,725.590027,776.039978,712.169983,766.840027,766.840027,56793620000
2006-11-01,766.820007,795.169983,746.289978,786.119995,786.119995,55343930000
2006-12-01,785.710022,801.010010,773.059998,787.659973,787.659973,47578780000
2007-01-01,788.309998,803.460022,768.690002,800.340027,800.340027,56686200000
2007-02-01,802.020020,830.010010,784.419983,793.299988,793.299988,51844990000
2007-03-01,787.619995,811.049988,760.059998,800.710022,800.710022,67622250000
2007-04-01,801.770020,835.169983,798.169983,814.570007,814.570007,57032470000
2007-05-01,815.380005,849.260010,807.690002,847.179993,847.179993,64958050000
2007-06-01,848.619995,856.390015,819.750000,833.700012,833.700012,65322800000
2007-07-01,836.080017,856.479980,770.590027,776.119995,776.119995,70337430000
2007-08-01,774.969971,803.510010,736.000000,792.859985,792.859985,91381760000
2007-09-01,792.500000,822.869995,759.419983,805.450012,805.450012,57809700000
2007-10-01,806.039978,852.059998,788.659973,828.020020,828.020020,76022580000
2007-11-01,822.880005,822.880005,734.450012,767.770020,767.770020,86246950000
2007-12-01,768.200012,799.570007,735.849976,766.030029,766.030029,64821670000
2008-01-01,765.900024,768.460022,650.000000,713.299988,713.299988,98475340000
2008-02-01,714.919983,731.239990,683.539978,686.179993,686.179993,78536130000
2008-03-01,686.049988,705.989990,643.280029,687.969971,687.969971,93189170000
2008-04-01,692.020020,728.440002,684.880005,716.179993,716.179993,85978630000
2008-05-01,715.539978,750.690002,714.010010,748.280029,748.280029,80990480000
2008-06-01,747.479980,763.270020,689.659973,689.659973,689.659973,96614040000
2008-07-01,686.770020,726.270020,647.369995,714.520020,714.520020,124980570000
2008-08-01,714.919983,764.380005,700.179993,739.500000,739.500000,86266010000
2008-09-01,745.119995,761.780029,657.169983,679.580017,679.580017,141134640000
2008-10-01,676.210022,676.210022,441.920013,537.520020,537.520020,161289700000
2008-11-01,536.500000,551.020020,371.299988,473.140015,473.140015,115660210000
2008-12-01,466.529999,503.260010,415.989990,499.450012,499.450012,112884470000
2009-01-01,499.510010,519.000000,431.260010,443.529999,443.529999,112090640000
2009-02-01,441.209991,471.529999,386.690002,389.019989,389.019989,124492210000
2009-03-01,389.010010,445.299988,342.589996,422.750000,422.750000,161843640000
2009-04-01,419.390015,501.459991,412.790009,487.559998,487.559998,138855320000
2009-05-01,488.089996,511.820007,470.369995,501.579987,501.579987,131614940000
2009-06-01,504.570007,535.859985,488.850006,508.279999,508.279999,112653150000
2009-07-01,510.279999,563.479980,473.540009,556.710022,556.710022,106635790000
2009-08-01,559.309998,589.789978,546.960022,572.070007,572.070007,116825670000
2009-09-01,570.239990,625.309998,552.270020,604.280029,604.280029,112295490000
2009-10-01,603.229980,624.130005,560.190002,562.770020,562.770020,113410990000
